"Designator","Comment","Exclude from BOM","Exclude from Board","Footprint"
"U4","SPX3819M5-L-3-3","","","Package_TO_SOT_SMD:SOT-23-5"
"D5","LED_YELLOW","","","LED_SMD:LED_0805_2012Metric"
"D3","LED_WHITE","","","LED_SMD:LED_0805_2012Metric"
"D1","LED_RED","","","LED_SMD:LED_0805_2012Metric"
"D2","LED_GREEN","","","LED_SMD:LED_0805_2012Metric"
"D4","LED_BLUE","","","LED_SMD:LED_0805_2012Metric"
"U5","ESP32-WROOM-32UE","","","RF_Module:ESP32-WROOM-32UE"
"U3","CH340C","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm"
"R1,R2,R3,R4,R5","330R","","","Resistor_SMD:R_0402_1005Metric"
"R6","10kR","","","Resistor_SMD:R_0402_1005Metric"
"R7,R8","4.7kR","","","Resistor_SMD:R_0402_1005Metric"
"C17","47uF","","","Capacitor_SMD:C_1206_3216Metric"
"C15","10uF","","","Capacitor_SMD:C_0402_1005Metric"
"C18","1uF","","","Capacitor_SMD:C_0402_1005Metric"
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C16","100nF","","","Capacitor_SMD:C_0402_1005Metric"
"C10","10nF","","","Capacitor_SMD:C_0402_1005Metric"
